Tiêu đề,Giá,Diện tích,Giá/m2,Số phòng ngủ,Số phòng tắm,Địa chỉ,Ngày đăng
"Nhà đẹp 2 tầng vào ở ngay, 80m2, nở hậu tài lộc, cách nguyễn thị định chỉ 300m, hơn 6 tỷ(tl)","6,2 tỷ",80 m²,"77,5 tr/m²",2.0,2.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"ẤM CÚNG! Nhà 3 tầng kiên cố, ở ngay, NH: 6mx30 - 85m2 Hẻm Phan Đăng Lưu, p1, PN chỉ 9,5 tỷ TL","9,5 tỷ",85 m²,"111,76 tr/m²",,,"Q. Phú Nhuận, Tp. Hồ Chí Minh",12/10/2025
"Bán đất 5,5x14m, giá 6,8 tỷ đường thông sang khu dân cư Savimex chợ gò ô môi, huỳnh tất phát","6,8 tỷ",75 m²,"90,67 tr/m²",,,"Q. 7, Tp. Hồ Chí Minh",12/10/2025
"3PN The Crest Thủ Thiêm diện tích 129m2. Giá bán 40tỷ, đã có sổ",40 tỷ,129 m²,"310,08 tr/m²",3.0,3.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"3PN The Crest Thủ Thiêm diện tích 129m2. Giá bán 40tỷ, đã có sổ",40 tỷ,129 m²,"310,08 tr/m²",3.0,3.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Bán Căn Nhà Đẹp 4 Tầng Hẻm 7m Thông Tứ, Nhà Còn Rất Đẹp","6,5 tỷ",48 m²,"135,42 tr/m²",5.0,3.0,"Q. Bình Tân, Tp. Hồ Chí Minh",12/10/2025
"Cực hiếm ! Nhà ngay Metro Văn Thánh - DT: 7,5x16m, 4 Tầng, đường Nguyễn Hữu Cảnh - Giá giảm 32 tỷ",32 tỷ,120 m²,"266,67 tr/m²",,,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
3.180 Nhà 1 Lầu Shr Hiện Hữu Hẻm Thông Nguyễn Biểu Q5,"3,18 tỷ",25 m²,"127,2 tr/m²",1.0,2.0,"Q. 5, Tp. Hồ Chí Minh",12/10/2025
"Nhà đẹp giá rẻ tại Đ. Trần Thị Cờ, Hiệp Thành, Quận 12 bán với giá cực mềm chỉ 2TỶ599.","2,6 tỷ",70 m²,"37,14 tr/m²",4.0,4.0,"Q. 12, Tp. Hồ Chí Minh",12/10/2025
"Bán Căn Nhà Đẹp 4 Tầng Hẻm 7m Thông Tứ, Nhà Còn Rất Đẹp","6,5 tỷ",48 m²,"135,42 tr/m²",5.0,3.0,"Q. Bình Tân, Tp. Hồ Chí Minh",12/10/2025
"Cực hiếm ! Nhà ngay Metro Văn Thánh - DT: 7,5x16m, 4 Tầng, đường Nguyễn Hữu Cảnh - Giá giảm 32 tỷ",32 tỷ,120 m²,"266,67 tr/m²",,,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
3.180 Nhà 1 Lầu Shr Hiện Hữu Hẻm Thông Nguyễn Biểu Q5,"3,18 tỷ",25 m²,"127,2 tr/m²",1.0,2.0,"Q. 5, Tp. Hồ Chí Minh",12/10/2025
"Nhà đẹp giá rẻ tại Đ. Trần Thị Cờ, Hiệp Thành, Quận 12 bán với giá cực mềm chỉ 2TỶ599.","2,6 tỷ",70 m²,"37,14 tr/m²",4.0,4.0,"Q. 12, Tp. Hồ Chí Minh",12/10/2025
"Bán chdv bình thạnh, 87m2 (5.1x17), 5 tầng, thu nhập 70tr/th, hẻm 4.5m","12,5 tỷ",87 m²,"143,68 tr/m²",,,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà mới xây full nội thất - Huỳnh Tấn Phát, Quận 7. 60,8m2 - 4PN - 6,8tỷ. Nhà đẹp lung linh","6,8 tỷ",61 m²,"111,48 tr/m²",4.0,4.0,"Q. 7, Tp. Hồ Chí Minh",12/10/2025
"Siêu Phẩm Hoàng Hoa Thám, Tân Bình giá chỉ 4TỶ1 / 63m2 - Gần chợ Hoàng Hoa Thám - Hẻm ô tô 5M","4,1 tỷ",63 m²,"65,08 tr/m²",4.0,5.0,"Q. Tân Bình, Tp. Hồ Chí Minh",12/10/2025
"Chủ cần bán gấp - Nhà Phú Thọ Hòa -4x9- đúc 4 tầng btct- sát mặt tiền đường- Chỉ 4,xty","4,7 tỷ",36 m²,"130,56 tr/m²",3.0,3.0,"Q. Tân Phú, Tp. Hồ Chí Minh",12/10/2025
"Bán chdv bình thạnh, 87m2 (5.1x17), 5 tầng, thu nhập 70tr/th, hẻm 4.5m","12,5 tỷ",87 m²,"143,68 tr/m²",,,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà mới xây full nội thất - Huỳnh Tấn Phát, Quận 7. 60,8m2 - 4PN - 6,8tỷ. Nhà đẹp lung linh","6,8 tỷ",61 m²,"111,48 tr/m²",4.0,4.0,"Q. 7, Tp. Hồ Chí Minh",12/10/2025
"Siêu Phẩm Hoàng Hoa Thám, Tân Bình giá chỉ 4TỶ1 / 63m2 - Gần chợ Hoàng Hoa Thám - Hẻm ô tô 5M","4,1 tỷ",63 m²,"65,08 tr/m²",4.0,5.0,"Q. Tân Bình, Tp. Hồ Chí Minh",12/10/2025
"Chủ cần bán gấp - Nhà Phú Thọ Hòa -4x9- đúc 4 tầng btct- sát mặt tiền đường- Chỉ 4,xty","4,7 tỷ",36 m²,"130,56 tr/m²",3.0,3.0,"Q. Tân Phú, Tp. Hồ Chí Minh",12/10/2025
"Chính chủ cần bán nhà hẻm xe hơi lạc long quân, p.8, quận tân bình","4,1 tỷ",21.5 m²,"190,7 tr/m²",3.0,2.0,"Q. Tân Bình, Tp. Hồ Chí Minh",12/10/2025
"Chung Cư Lotus Garden 86m2, 2 Phòng Ngủ Đường Trịnh Đình Thảo Giáp Đầm Sen Cần Bán Gấp .","4,17 tỷ",86 m²,"48,49 tr/m²",2.0,2.0,"Q. Tân Phú, Tp. Hồ Chí Minh",12/10/2025
"Hàng hiếm tại Hưng Ngân Garden, 1,88 tỷ, 56m2, 1PN, 1WC, full nội thất","1,88 tỷ",56 m²,"33,57 tr/m²",1.0,1.0,"Q. 12, Tp. Hồ Chí Minh",12/10/2025
"Giảm 28% bán nhanh căn hộ 2PN2WC 69m2 tầng thấp view nội khu đẹp giá chỉ 3,5 tỷ nhận nhà ngay","3,5 tỷ",69 m²,"50,72 tr/m²",2.0,2.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Rẻ nhất khu vực Bến Nghé , Mặt tiền Nguyễn Du 4x16,5 , HĐT 70tr/tháng - giá bán 26 tỷ",26 tỷ,65 m²,400 tr/m²,2.0,2.0,"Q. 1, Tp. Hồ Chí Minh",12/10/2025
"Nhà 7 tầng mặt tiền hoàng hoa thám ngang 8m *24m ( 180m2) p.7 , q binh thạnh",22 tỷ,180 m²,"122,22 tr/m²",,,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
"Bán đất mặt tiền sông đồng nai giá 1,5 triệu/m2 có sổ đỏ đất cây lâu năm và thổ cư",8 tỷ,5.689 m²,"1,41 tr/m²",,,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
Shophouse vinhome grand park quận 9 vị trí siêu hiếm - cho thuê 50 - 60 triệu/tháng,14 tỷ,73 m²,"191,78 tr/m²",,,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Độc nhất toà building 7tầng trực diện sông Sài Gòn HĐT dự kiến 350tr/tháng, có tiền khó kiếm.",Thương lượng,240 m²,,,,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
Hẻm xe hơi 16 Nguyễn Thiện Thuật Quận 3 - 5 tầng BTCT - 37m2 ngang 3.5m.,8 tỷ,37 m²,"216,22 tr/m²",5.0,4.0,"Q. 3, Tp. Hồ Chí Minh",12/10/2025
"Chính chủ cần bán nhà hẻm xe hơi lạc long quân, p.8, quận tân bình","4,1 tỷ",21.5 m²,"190,7 tr/m²",3.0,2.0,"Q. Tân Bình, Tp. Hồ Chí Minh",12/10/2025
"Chung Cư Lotus Garden 86m2, 2 Phòng Ngủ Đường Trịnh Đình Thảo Giáp Đầm Sen Cần Bán Gấp .","4,17 tỷ",86 m²,"48,49 tr/m²",2.0,2.0,"Q. Tân Phú, Tp. Hồ Chí Minh",12/10/2025
"Hàng hiếm tại Hưng Ngân Garden, 1,88 tỷ, 56m2, 1PN, 1WC, full nội thất","1,88 tỷ",56 m²,"33,57 tr/m²",1.0,1.0,"Q. 12, Tp. Hồ Chí Minh",12/10/2025
"Giảm 28% bán nhanh căn hộ 2PN2WC 69m2 tầng thấp view nội khu đẹp giá chỉ 3,5 tỷ nhận nhà ngay","3,5 tỷ",69 m²,"50,72 tr/m²",2.0,2.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Rẻ nhất khu vực Bến Nghé , Mặt tiền Nguyễn Du 4x16,5 , HĐT 70tr/tháng - giá bán 26 tỷ",26 tỷ,65 m²,400 tr/m²,2.0,2.0,"Q. 1, Tp. Hồ Chí Minh",12/10/2025
"Nhà 7 tầng mặt tiền hoàng hoa thám ngang 8m *24m ( 180m2) p.7 , q binh thạnh",22 tỷ,180 m²,"122,22 tr/m²",,,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
"Bán đất mặt tiền sông đồng nai giá 1,5 triệu/m2 có sổ đỏ đất cây lâu năm và thổ cư",8 tỷ,5.689 m²,"1,41 tr/m²",,,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
Shophouse vinhome grand park quận 9 vị trí siêu hiếm - cho thuê 50 - 60 triệu/tháng,14 tỷ,73 m²,"191,78 tr/m²",,,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Độc nhất toà building 7tầng trực diện sông Sài Gòn HĐT dự kiến 350tr/tháng, có tiền khó kiếm.",Thương lượng,240 m²,,,,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
Hẻm xe hơi 16 Nguyễn Thiện Thuật Quận 3 - 5 tầng BTCT - 37m2 ngang 3.5m.,8 tỷ,37 m²,"216,22 tr/m²",5.0,4.0,"Q. 3, Tp. Hồ Chí Minh",12/10/2025
"3PN The Vista An Phú view sông trực diện.Giá 13,5 tỷ. DT 140m2, đã có sổ","13,5 tỷ",140 m²,"96,43 tr/m²",3.0,,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Nhà 50m2, 3 tầng, sau căn mặt tiền Đường Số 2 - CX Đô Thành P4 Q3, chính chủ cần bán giá rẻ","9,6 tỷ",50 m²,192 tr/m²,4.0,3.0,"Q. 3, Tp. Hồ Chí Minh",12/10/2025
"Siêu Phẩm CHDV Trần Bình Trọng , Bình Thạnh : 84m2 (4,5 x22) - 4 tầng : 7pn,7wc -9,8 tỷ TL","9,8 tỷ",84 m²,"116,67 tr/m²",7.0,7.0,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
"BÁN GẤP NHÀ ĐƯỜNG 5M Âu Cơ, 4.1x16, 2 Tầng, 3Pn, giá 5 tỷ hơn.","5,8 tỷ",58 m²,100 tr/m²,3.0,,"Q. Tân Bình, Tp. Hồ Chí Minh",12/10/2025
"Chính chủ bán nhà 1 trệt 1 lầu Quận 3 giá đất, hoàn công đủ, vị trí vàng trung tâm","7,7 tỷ",31.8 m²,"242,14 tr/m²",1.0,1.0,"Q. 3, Tp. Hồ Chí Minh",12/10/2025
"Trần Kế Xương, P.7 , Phú Nhuận - Nhà đẹp 2 tầng 44m2 mà chỉ 3.1 TỶ, có thật 100% chính chủ KHÔNG ẢO","3,1 tỷ",44 m²,"70,45 tr/m²",,,"Q. Phú Nhuận, Tp. Hồ Chí Minh",12/10/2025
"Nhà 1T-2L 52m² (4mx13m) đường Số 6, P.Long Trường, Q9 - Chỉ 5ty2","5,2 tỷ",52 m²,100 tr/m²,3.0,3.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
Tặng toàn bộ nội thất& Giảm giá 200tr nhà 68m2 view bờ kè thoáng mát 4 tầng - 4 phòng ngủ master,"8,5 tỷ",68 m²,125 tr/m²,4.0,,"Q. Gò Vấp, Tp. Hồ Chí Minh",12/10/2025
"Đi tầm 10p tới bv thống nhất hẻm 95/bắchải, 3,39tỷ,51m2,3pn3wc,q10.sổ riêng đang cho thuê 16tr.lh e","3,39 tỷ",51 m²,"66,47 tr/m²",3.0,3.0,"Q. 10, Tp. Hồ Chí Minh",12/10/2025
"Chủ bán gấp nhà giá tốt đầu tư, hẻm 1/ Huỳnh Văn Bánh, Phú Nhuận, 80m2, 3tỷ990tr, sẵn HĐT 25tr/th","3,99 tỷ",80 m²,"49,88 tr/m²",4.0,,"Q. Phú Nhuận, Tp. Hồ Chí Minh",12/10/2025
"Nhà 50m2, 3 tầng, sau căn mặt tiền Đường Số 2 - CX Đô Thành P4 Q3, chính chủ cần bán giá rẻ","9,6 tỷ",50 m²,192 tr/m²,4.0,3.0,"Q. 3, Tp. Hồ Chí Minh",12/10/2025
"Siêu Phẩm CHDV Trần Bình Trọng , Bình Thạnh : 84m2 (4,5 x22) - 4 tầng : 7pn,7wc -9,8 tỷ TL","9,8 tỷ",84 m²,"116,67 tr/m²",7.0,7.0,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
"BÁN GẤP NHÀ ĐƯỜNG 5M Âu Cơ, 4.1x16, 2 Tầng, 3Pn, giá 5 tỷ hơn.","5,8 tỷ",58 m²,100 tr/m²,3.0,,"Q. Tân Bình, Tp. Hồ Chí Minh",12/10/2025
"Chính chủ bán nhà 1 trệt 1 lầu Quận 3 giá đất, hoàn công đủ, vị trí vàng trung tâm","7,7 tỷ",31.8 m²,"242,14 tr/m²",1.0,1.0,"Q. 3, Tp. Hồ Chí Minh",12/10/2025
"Trần Kế Xương, P.7 , Phú Nhuận - Nhà đẹp 2 tầng 44m2 mà chỉ 3.1 TỶ, có thật 100% chính chủ KHÔNG ẢO","3,1 tỷ",44 m²,"70,45 tr/m²",,,"Q. Phú Nhuận, Tp. Hồ Chí Minh",12/10/2025
"Nhà 1T-2L 52m² (4mx13m) đường Số 6, P.Long Trường, Q9 - Chỉ 5ty2","5,2 tỷ",52 m²,100 tr/m²,3.0,3.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
Tặng toàn bộ nội thất& Giảm giá 200tr nhà 68m2 view bờ kè thoáng mát 4 tầng - 4 phòng ngủ master,"8,5 tỷ",68 m²,125 tr/m²,4.0,,"Q. Gò Vấp, Tp. Hồ Chí Minh",12/10/2025
"Đi tầm 10p tới bv thống nhất hẻm 95/bắchải, 3,39tỷ,51m2,3pn3wc,q10.sổ riêng đang cho thuê 16tr.lh e","3,39 tỷ",51 m²,"66,47 tr/m²",3.0,3.0,"Q. 10, Tp. Hồ Chí Minh",12/10/2025
"Chủ bán gấp nhà giá tốt đầu tư, hẻm 1/ Huỳnh Văn Bánh, Phú Nhuận, 80m2, 3tỷ990tr, sẵn HĐT 25tr/th","3,99 tỷ",80 m²,"49,88 tr/m²",4.0,,"Q. Phú Nhuận, Tp. Hồ Chí Minh",12/10/2025
RẺ NHẤT THỊ TRƯỜNG. Chỉ với 47 tỷ sở hữu ngay BIỆT THỰ view trực diện sông Sài Gòn. 15x20m. CN:320m,47 tỷ,330 m²,"142,42 tr/m²",,,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Bán BT 170m2 giá tốt tại Đ.Số 41, p Linh Đông, Thủ Đức, HCM","9,8 tỷ",170 m²,"57,65 tr/m²",,,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Lô đất đẹp vuông vức 4x16,6m Cách mặt tiền vài bước Giá chỉ 7,5 tỷ","7,5 tỷ",65.5 m²,"114,5 tr/m²",,,"Q. Gò Vấp, Tp. Hồ Chí Minh",12/10/2025
"Quận 3, ngay cmt8 góc nguyễn đình chiểu, 6 tầng btct, hẻm 4m, nhà nở hậu, chỉ nhỉnh 6 tỷ","6,9 tỷ",30 m²,230 tr/m²,4.0,4.0,"Q. 3, Tp. Hồ Chí Minh",12/10/2025
"Căn Góc 2 Mặt Tiền Đinh Bộ Lĩnh, Bình Thạnh - DT : 16 x 12 m - Giá : 45 tỷ",45 tỷ,160 m²,"281,25 tr/m²",,,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
24tỷ sở hữu ngay dt 338m2 q2-mặt tiền đường số khu dân cư hiện hữu- cách nguyễn duy trinh 20m,23 tỷ,280 m²,"82,14 tr/m²",5.0,4.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Góc 2 mt nguyễn thái bình quận 1. dt: 5.2x20, 5 tầng, hđt 168tr giảm còn 47 tỷ",47 tỷ,97 m²,"484,54 tr/m²",,,"Q. 1, Tp. Hồ Chí Minh",12/10/2025
RẺ NHẤT THỊ TRƯỜNG. Chỉ với 47 tỷ sở hữu ngay BIỆT THỰ view trực diện sông Sài Gòn. 15x20m. CN:320m,47 tỷ,330 m²,"142,42 tr/m²",,,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Bán BT 170m2 giá tốt tại Đ.Số 41, p Linh Đông, Thủ Đức, HCM","9,8 tỷ",170 m²,"57,65 tr/m²",,,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Lô đất đẹp vuông vức 4x16,6m Cách mặt tiền vài bước Giá chỉ 7,5 tỷ","7,5 tỷ",65.5 m²,"114,5 tr/m²",,,"Q. Gò Vấp, Tp. Hồ Chí Minh",12/10/2025
"Quận 3, ngay cmt8 góc nguyễn đình chiểu, 6 tầng btct, hẻm 4m, nhà nở hậu, chỉ nhỉnh 6 tỷ","6,9 tỷ",30 m²,230 tr/m²,4.0,4.0,"Q. 3, Tp. Hồ Chí Minh",12/10/2025
"Căn Góc 2 Mặt Tiền Đinh Bộ Lĩnh, Bình Thạnh - DT : 16 x 12 m - Giá : 45 tỷ",45 tỷ,160 m²,"281,25 tr/m²",,,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
24tỷ sở hữu ngay dt 338m2 q2-mặt tiền đường số khu dân cư hiện hữu- cách nguyễn duy trinh 20m,23 tỷ,280 m²,"82,14 tr/m²",5.0,4.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Góc 2 mt nguyễn thái bình quận 1. dt: 5.2x20, 5 tầng, hđt 168tr giảm còn 47 tỷ",47 tỷ,97 m²,"484,54 tr/m²",,,"Q. 1, Tp. Hồ Chí Minh",12/10/2025
"Bán đất mặt tiền khu Lửa- diện tích to hiếm 7 x 20: 140m2 vuông vức- đường 14M - GIÁ 15,x tỷ (1114)","15,5 tỷ",140 m²,"110,71 tr/m²",,,"Q. Bình Tân, Tp. Hồ Chí Minh",12/10/2025
"Bán lô đất 2 xào mặt tiền trục chính Duyên Hải, cạnh dự án Vin Cần Giờ giá cực rẻ",50 tỷ,2.000 m²,25 tr/m²,,,"H. Cần Giờ, Tp. Hồ Chí Minh",12/10/2025
"Bán đất mặt tiền khu Lửa- diện tích to hiếm 7 x 20: 140m2 vuông vức- đường 14M - GIÁ 15,x tỷ (1114)","15,5 tỷ",140 m²,"110,71 tr/m²",,,"Q. Bình Tân, Tp. Hồ Chí Minh",12/10/2025
"Bán lô đất 2 xào mặt tiền trục chính Duyên Hải, cạnh dự án Vin Cần Giờ giá cực rẻ",50 tỷ,2.000 m²,25 tr/m²,,,"H. Cần Giờ, Tp. Hồ Chí Minh",12/10/2025
"Bán gấp nhà hẻm 6m khu Bàu Cát thông ra Đồng Đen, 4x15m, trệt lầu 4PN, Giá 6.8 tỷ","6,8 tỷ",60 m²,"113,33 tr/m²",4.0,,"Q. Tân Bình, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà tại Lê Văn Việt P.Long Thạnh Mỹ Thủ Đức, giá 2tỷ390tr, DT: 66m2. Sổ sẵn hoàn công đủ.","2,39 tỷ",66 m²,"36,21 tr/m²",4.0,5.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà đẹp hiện đại giáp quận 1- nơ trang long-5x15m, 4 tầng- chỉ 8.8 tỷ","8,8 tỷ",65 m²,"135,38 tr/m²",4.0,4.0,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
Nhà đẹp phước long b - đầu 7 tỷ,7 tỷ,75 m²,"93,33 tr/m²",4.0,4.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
Bán nhà đẹp Lê Văn Quới khu phân lô đồng bộ 4* 13 m trệt 2 lầu giá 5 ty950,"5,95 tỷ",54 m²,"110,19 tr/m²",4.0,3.0,"Q. Bình Tân, Tp. Hồ Chí Minh",12/10/2025
Phan đăng lưu - phú nhuận nhà 5 tầng đẹp hẻm xe hơi quay đầu 45m2 - chỉ nhỉnh 8 tỷ,"8,8 tỷ",45 m²,"195,56 tr/m²",5.0,5.0,"Q. Phú Nhuận, Tp. Hồ Chí Minh",12/10/2025
"Bình Tân - Nhà mới 3 tầng 4x14 full nội thất - hxt ngay HL2 - 5,8t TL","5,8 tỷ",56 m²,"103,57 tr/m²",4.0,4.0,"Q. Bình Tân, Tp. Hồ Chí Minh",12/10/2025
Đuờng 10m kinh doanh khu chợ bàn cờ q3,"9,5 tỷ",30 m²,"316,67 tr/m²",4.0,3.0,"Q. 3, Tp. Hồ Chí Minh",12/10/2025
"Nhà gần chợ Hiệp Bình, 4 Tầng HXH 7m có lề gần mặt tiền đường KDC đồng bộ giá 7,9 tỷ","7,9 tỷ",51 m²,"154,9 tr/m²",4.0,5.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Bán gấp nhà hẻm 6m khu Bàu Cát thông ra Đồng Đen, 4x15m, trệt lầu 4PN, Giá 6.8 tỷ","6,8 tỷ",60 m²,"113,33 tr/m²",4.0,,"Q. Tân Bình, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà tại Lê Văn Việt P.Long Thạnh Mỹ Thủ Đức, giá 2tỷ390tr, DT: 66m2. Sổ sẵn hoàn công đủ.","2,39 tỷ",66 m²,"36,21 tr/m²",4.0,5.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà đẹp hiện đại giáp quận 1- nơ trang long-5x15m, 4 tầng- chỉ 8.8 tỷ","8,8 tỷ",65 m²,"135,38 tr/m²",4.0,4.0,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
Nhà đẹp phước long b - đầu 7 tỷ,7 tỷ,75 m²,"93,33 tr/m²",4.0,4.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
Bán nhà đẹp Lê Văn Quới khu phân lô đồng bộ 4* 13 m trệt 2 lầu giá 5 ty950,"5,95 tỷ",54 m²,"110,19 tr/m²",4.0,3.0,"Q. Bình Tân, Tp. Hồ Chí Minh",12/10/2025
Phan đăng lưu - phú nhuận nhà 5 tầng đẹp hẻm xe hơi quay đầu 45m2 - chỉ nhỉnh 8 tỷ,"8,8 tỷ",45 m²,"195,56 tr/m²",5.0,5.0,"Q. Phú Nhuận, Tp. Hồ Chí Minh",12/10/2025
"Bình Tân - Nhà mới 3 tầng 4x14 full nội thất - hxt ngay HL2 - 5,8t TL","5,8 tỷ",56 m²,"103,57 tr/m²",4.0,4.0,"Q. Bình Tân, Tp. Hồ Chí Minh",12/10/2025
Đuờng 10m kinh doanh khu chợ bàn cờ q3,"9,5 tỷ",30 m²,"316,67 tr/m²",4.0,3.0,"Q. 3, Tp. Hồ Chí Minh",12/10/2025
"Nhà gần chợ Hiệp Bình, 4 Tầng HXH 7m có lề gần mặt tiền đường KDC đồng bộ giá 7,9 tỷ","7,9 tỷ",51 m²,"154,9 tr/m²",4.0,5.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà mặt tiền đường số-canh ngay nguyễn duy trinh q2-ngang 4,5m chỉ 9tỷ nhỉnh","9,9 tỷ",66 m²,150 tr/m²,5.0,4.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
Siêu phẩm căn góc mặt tiền Tân Sơn Nhì Q.Tân Phú - DT 12x16m hầm 3 tầng có HĐT 250 triệu chỉ 65 tỷ,65 tỷ,192 m²,"338,54 tr/m²",,,"Q. Tân Phú, Tp. Hồ Chí Minh",12/10/2025
"Bán căn hộ chung cư RES 3 ngay chợ Tân Mỹ, bệnh viện FV...Quận 7 giá 3.350 tỷ/căn 2pn 74m2 có sổ","3,35 tỷ",74 m²,"45,27 tr/m²",2.0,2.0,"Q. 7, Tp. Hồ Chí Minh",12/10/2025
Siêu phẩm căn góc mặt tiền Tân Sơn Nhì Q.Tân Phú - DT 12x16m hầm 3 tầng có HĐT 250 triệu chỉ 65 tỷ,65 tỷ,192 m²,"338,54 tr/m²",,,"Q. Tân Phú, Tp. Hồ Chí Minh",12/10/2025
"Bán căn hộ chung cư RES 3 ngay chợ Tân Mỹ, bệnh viện FV...Quận 7 giá 3.350 tỷ/căn 2pn 74m2 có sổ","3,35 tỷ",74 m²,"45,27 tr/m²",2.0,2.0,"Q. 7, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà mặt tiền đường số-canh ngay nguyễn duy trinh q2-ngang 4,5m chỉ 9tỷ nhỉnh","9,9 tỷ",66 m²,150 tr/m²,5.0,4.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Giỏ hàng Xi Grand Court, DT 92m2 - 3PN - giá: 7.9 tỷ. Sổ Hồng. LH: 0773694806","7,9 tỷ",92 m²,"85,87 tr/m²",3.0,2.0,"Q. 10, Tp. Hồ Chí Minh",12/10/2025
Bán căn hộ Republic Plaza - 50m2/1PN giá 2.6 tỷ tặng nội thất 0908879243 Tuấn,"2,6 tỷ",50 m²,52 tr/m²,1.0,1.0,"Q. Tân Bình, Tp. Hồ Chí Minh",12/10/2025
"Lô đất đẹp đường Liên Phường, 56m2 cạnh Global city, HXH tránh, nhỉnh 5 tỷ","5,4 tỷ",56 m²,"96,43 tr/m²",,,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
Nhà MT Giá sốc !! Ngay ĐH Kinh tế Đường Nguyễn Tri Phương Quận 10. DT: 8x25m KC: 5 tầng Giá: 60 tỷ,60 tỷ,200 m²,300 tr/m²,3.0,3.0,"Q. 10, Tp. Hồ Chí Minh",12/10/2025
"Siêu Phẩm ngang 10m Góc 2 MT Võ Thị Sáu, Q1 - DT: 10 X 17 - 3 Tầng - HĐT: 150tr/th - Giá: 49 tỷ",49 tỷ,170 m²,"288,24 tr/m²",5.0,5.0,"Q. 1, Tp. Hồ Chí Minh",12/10/2025
"Siêu vị trí - mặt tiền ẩm thực phố Phan Văn Hân, P17, BT - DT: 5m x 18m - 5 tầng - chỉ 15,7 tỷ","15,7 tỷ",63 m²,"249,21 tr/m²",,,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
"Sora Boutique - Shophouse 3 tầng-Happy One Sora! CK 19%,ký VBTT chỉ 5%, cam kết cho thuê 24th 500tr","5,1 tỷ",133 m²,"38,35 tr/m²",,,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Bán Căn hộ Scenic Valley 2, 7,1 tỷ VND, 74m2, 2PN, 2WC, Q7, HCM giá ưu đãi uy tín","7,1 tỷ",84 m²,"84,52 tr/m²",2.0,2.0,"Q. 7, Tp. Hồ Chí Minh",12/10/2025
Bán căn góc 3 mt phú nhuận - cách phan đăng lưu chỉ 50m. nhà 5 tầng. ngang lớn 7.5m,21 tỷ,67 m²,"313,43 tr/m²",5.0,4.0,"Q. Phú Nhuận, Tp. Hồ Chí Minh",12/10/2025
